Date,ppt (inches)
12/13/2019,0.77
12/14/2019,0.1
12/15/2019,0.01
12/16/2019,0.02
12/17/2019,0
12/18/2019,0
12/19/2019,0.16
12/20/2019,0.88
12/21/2019,1.54
12/22/2019,0.34
12/23/2019,0.3
12/24/2019,0.02
12/25/2019,0.18
12/26/2019,0
12/27/2019,0.11
12/28/2019,0
12/29/2019,0.1
12/30/2019,0.31
12/31/2019,0
1/1/2020,1.29
1/2/2020,0.3
1/3/2020,0.05
1/4/2020,0.7
1/5/2020,0.42
1/6/2020,1.29
1/7/2020,0.81
1/8/2020,0.84
1/9/2020,0.38
1/10/2020,0.06
1/11/2020,2.04
1/12/2020,1.05
1/13/2020,0.82
1/14/2020,0.77
1/15/2020,0.09
1/16/2020,0.94
1/17/2020,0.05
1/18/2020,0.44
1/19/2020,0.29
1/20/2020,0
1/21/2020,0.35
1/22/2020,0.54
1/23/2020,0.63
1/24/2020,0.79
1/25/2020,0.29
1/26/2020,0.59
1/27/2020,0.35
1/28/2020,1.99
1/29/2020,0.67
1/30/2020,0.61
1/31/2020,0.03
2/1/2020,0.3
2/2/2020,0.2
2/3/2020,0.03
2/4/2020,0
2/5/2020,0.37
2/6/2020,0.54
2/7/2020,0.23
2/8/2020,0.57
2/9/2020,0.17
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0.21
2/15/2020,0.14
2/16/2020,0.76
2/17/2020,0.06
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0.09
2/24/2020,0.32
2/25/2020,0.02
2/26/2020,0.01
2/27/2020,0
2/28/2020,0
2/29/2020,0.36
3/1/2020,0.13
3/2/2020,0
3/3/2020,0.08
3/4/2020,0.01
3/5/2020,0
3/6/2020,0
3/7/2020,0.14
3/8/2020,0.07
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0.62
3/15/2020,0.12
3/16/2020,0.08
3/17/2020,0
3/18/2020,0
3/19/2020,0
3/20/2020,0
3/21/2020,0
3/22/2020,0
3/23/2020,0.05
3/24/2020,0.79
3/25/2020,0.5
3/26/2020,0.08
3/27/2020,0.07
3/28/2020,0.16
3/29/2020,0.33
3/30/2020,0.6
3/31/2020,1.1
4/1/2020,0.38
4/2/2020,0.3
4/3/2020,0.12
4/4/2020,0.06
4/5/2020,0.15
4/6/2020,0
4/7/2020,0
4/8/2020,0
4/9/2020,0
4/10/2020,0
4/11/2020,0
4/12/2020,0
4/13/2020,0
4/14/2020,0
4/15/2020,0
4/16/2020,0
4/17/2020,0
4/18/2020,0
4/19/2020,0.17
4/20/2020,0
4/21/2020,0
4/22/2020,0.23
4/23/2020,0.83
4/24/2020,0.3
4/25/2020,0.05
4/26/2020,0.35
4/27/2020,0.16
4/28/2020,0.05
4/29/2020,0
4/30/2020,0.12
5/1/2020,0
5/2/2020,0.19
5/3/2020,0.67
5/4/2020,0.21
5/5/2020,0.11
5/6/2020,0.14
5/7/2020,0.03
5/8/2020,0
5/9/2020,0
5/10/2020,0
5/11/2020,0
5/12/2020,0.09
5/13/2020,0.13
5/14/2020,0.22
5/15/2020,0.31
5/16/2020,0.01
5/17/2020,0.19
5/18/2020,0.6
5/19/2020,0.31
5/20/2020,0.02
5/21/2020,0.11
5/22/2020,0.18
5/23/2020,0.04
5/24/2020,0
5/25/2020,0
5/26/2020,0
5/27/2020,0
5/28/2020,0
5/29/2020,0
5/30/2020,0.04
5/31/2020,0.31
6/1/2020,0
6/2/2020,0
6/3/2020,0
6/4/2020,0
6/5/2020,0
6/6/2020,0.1
6/7/2020,0.11
6/8/2020,0.14
6/9/2020,0.14
6/10/2020,0.15
6/11/2020,0.04
6/12/2020,0.1
6/13/2020,0.27
6/14/2020,0.14
6/15/2020,0.23
6/16/2020,0.22
6/17/2020,0.2
6/18/2020,0
6/19/2020,0
6/20/2020,0
6/21/2020,0.14
6/22/2020,0.01
6/23/2020,0
6/24/2020,0
6/25/2020,0
6/26/2020,0
6/27/2020,0
6/28/2020,0.01
6/29/2020,0
6/30/2020,0.01
7/1/2020,0.04
7/2/2020,0.05
7/3/2020,0
7/4/2020,0
7/5/2020,0
7/6/2020,0
7/7/2020,0
7/8/2020,0
7/9/2020,0
7/10/2020,0
7/11/2020,0
7/12/2020,0
7/13/2020,0
7/14/2020,0
7/15/2020,0
7/16/2020,0
7/17/2020,0
7/18/2020,0
7/19/2020,0
7/20/2020,0
7/21/2020,0
7/22/2020,0
7/23/2020,0
7/24/2020,0
7/25/2020,0
7/26/2020,0
7/27/2020,0
7/28/2020,0
7/29/2020,0
7/30/2020,0
7/31/2020,0
8/1/2020,0
8/2/2020,0
8/3/2020,0
8/4/2020,0
8/5/2020,0
8/6/2020,0.03
8/7/2020,0.03
8/8/2020,0
8/9/2020,0
8/10/2020,0
8/11/2020,0
8/12/2020,0
8/13/2020,0
8/14/2020,0
8/15/2020,0
8/16/2020,0
8/17/2020,0
8/18/2020,0
8/19/2020,0
8/20/2020,0
8/21/2020,0.05
8/22/2020,0.04
8/23/2020,0
8/24/2020,0
8/25/2020,0
8/26/2020,0
8/27/2020,0
8/28/2020,0
8/29/2020,0
8/30/2020,0
8/31/2020,0
9/1/2020,0
9/2/2020,0
9/3/2020,0
9/4/2020,0
9/5/2020,0
9/6/2020,0
9/7/2020,0
9/8/2020,0
9/9/2020,0
9/10/2020,0
9/11/2020,0
9/12/2020,0
9/13/2020,0
9/14/2020,0
9/15/2020,0
9/16/2020,0
9/17/2020,0.01
9/18/2020,0.44
9/19/2020,0.77
9/20/2020,0.01
9/21/2020,0
9/22/2020,0
9/23/2020,0
9/24/2020,0.64
9/25/2020,0.32
9/26/2020,0.49
9/27/2020,0.05
9/28/2020,0
9/29/2020,0
9/30/2020,0
10/1/2020,0
10/2/2020,0
10/3/2020,0
10/4/2020,0
10/5/2020,0
10/6/2020,0
10/7/2020,0
10/8/2020,0.02
10/9/2020,0.04
10/10/2020,0.74
10/11/2020,0.93
10/12/2020,0.64
10/13/2020,0.08
10/14/2020,0.58
10/15/2020,0.02
10/16/2020,0
10/17/2020,0.05
10/18/2020,0
10/19/2020,0.07
10/20/2020,0
10/21/2020,0
10/22/2020,0
10/23/2020,0
10/24/2020,0.15
10/25/2020,0
10/26/2020,0
10/27/2020,0
10/28/2020,0
10/29/2020,0.03
10/30/2020,0
10/31/2020,0.17
11/1/2020,0
11/2/2020,0
11/3/2020,0.02
11/4/2020,0.1
11/5/2020,0.3
11/6/2020,0.78
11/7/2020,0.15
11/8/2020,0.06
11/9/2020,0
11/10/2020,0.18
11/11/2020,0.67
11/12/2020,0.06
11/13/2020,1.74
11/14/2020,1.03
11/15/2020,1.84
11/16/2020,0.62
11/17/2020,0.21
11/18/2020,1.41
11/19/2020,1.05
11/20/2020,0.11
11/21/2020,0.01
11/22/2020,0
11/23/2020,0.13
11/24/2020,0.07
11/25/2020,0.65
11/26/2020,0.17
11/27/2020,0.02
11/28/2020,0.02
11/29/2020,0.08
11/30/2020,0.56
12/1/2020,0.12
12/2/2020,0
12/3/2020,0
12/4/2020,0
12/5/2020,0
12/6/2020,0.28
12/7/2020,0.04
12/8/2020,0
12/9/2020,0.13
12/10/2020,0.04
12/11/2020,0.35
12/12/2020,0.43
12/13/2020,0.34
12/14/2020,0.46
12/15/2020,0.17
12/16/2020,0.17
12/17/2020,0.85
12/18/2020,0.21
12/19/2020,0.58
12/20/2020,2.81
12/21/2020,1.43
12/22/2020,0.7
12/23/2020,0.01
12/24/2020,0
12/25/2020,0.08
12/26/2020,0.92
12/27/2020,0.09
12/28/2020,0
12/29/2020,0
12/30/2020,0.16
12/31/2020,0.95
1/1/2021,0.27
1/2/2021,0.6
1/3/2021,1.45
1/4/2021,0.58
1/5/2021,0.5
1/6/2021,0.4
1/7/2021,0.58
1/8/2021,0.41
1/9/2021,0.13
1/10/2021,0.13
1/11/2021,0.69
1/12/2021,2.02
1/13/2021,1.54
1/14/2021,0.01
1/15/2021,0.09
1/16/2021,0.04
1/17/2021,0
1/18/2021,0
1/19/2021,0
1/20/2021,0
1/21/2021,0.02
1/22/2021,0.03
1/23/2021,0
1/24/2021,0.11
1/25/2021,0.28
1/26/2021,0.23
1/27/2021,0.45
1/28/2021,0.12
1/29/2021,0.06
1/30/2021,0.17
1/31/2021,0.36
2/1/2021,0.48
2/2/2021,0.66
2/3/2021,1.16
2/4/2021,0.03
2/5/2021,0.12
2/6/2021,0.09
2/7/2021,0.13
2/8/2021,0.06
2/9/2021,0
2/10/2021,0
2/11/2021,0.1
2/12/2021,0.68
2/13/2021,1.93
2/14/2021,0.59
2/15/2021,1.06
2/16/2021,0.95
2/17/2021,0.23
2/18/2021,0.06
2/19/2021,0.83
2/20/2021,0.28
2/21/2021,0.23
2/22/2021,0.24
2/23/2021,0.41
2/24/2021,0.08
2/25/2021,0.1
2/26/2021,0.6
2/27/2021,0.26
2/28/2021,0.04
3/1/2021,0
3/2/2021,0
3/3/2021,0
3/4/2021,0
3/5/2021,0.14
3/6/2021,0.33
3/7/2021,0.24
3/8/2021,0.14
3/9/2021,0.13
3/10/2021,0.46
3/11/2021,0.07
3/12/2021,0
3/13/2021,0
3/14/2021,0
3/15/2021,0.07
3/16/2021,0.02
3/17/2021,0
3/18/2021,0.04
3/19/2021,0.43
3/20/2021,0.55
3/21/2021,0.26
3/22/2021,0.56
3/23/2021,0.09
3/24/2021,0.02
3/25/2021,0.28
3/26/2021,0.03
3/27/2021,0
3/28/2021,0
3/29/2021,0.32
3/30/2021,0.02
3/31/2021,0
4/1/2021,0
4/2/2021,0
4/3/2021,0
4/4/2021,0
4/5/2021,0
4/6/2021,0
4/7/2021,0
4/8/2021,0.25
4/9/2021,0.02
4/10/2021,0.2
4/11/2021,0.06
4/12/2021,0
4/13/2021,0
4/14/2021,0
4/15/2021,0
4/16/2021,0
4/17/2021,0
4/18/2021,0
4/19/2021,0
4/20/2021,0
4/21/2021,0
4/22/2021,0
4/23/2021,0
4/24/2021,0.15
4/25/2021,0.41
4/26/2021,0.09
4/27/2021,0.03
4/28/2021,0
4/29/2021,0
4/30/2021,0
5/1/2021,0.29
5/2/2021,0.02
5/3/2021,0
5/4/2021,0
5/5/2021,0
5/6/2021,0
5/7/2021,0.13
5/8/2021,0.06
5/9/2021,0
5/10/2021,0.02
5/11/2021,0
5/12/2021,0
5/13/2021,0
5/14/2021,0
5/15/2021,0
5/16/2021,0
5/17/2021,0
5/18/2021,0.08
5/19/2021,0.03
5/20/2021,0.21
5/21/2021,0.01
5/22/2021,0
5/23/2021,0
5/24/2021,0.05
5/25/2021,0.38
5/26/2021,0
5/27/2021,0.06
5/28/2021,0.17
5/29/2021,0
5/30/2021,0
5/31/2021,0
6/1/2021,0
6/2/2021,0
6/3/2021,0
6/4/2021,0
6/5/2021,0.02
6/6/2021,0.04
6/7/2021,0.14
6/8/2021,0.26
6/9/2021,0.04
6/10/2021,0.01
6/11/2021,0.12
6/12/2021,0.21
6/13/2021,0.89
6/14/2021,0.64
6/15/2021,0.02
6/16/2021,0.11
6/17/2021,0
6/18/2021,0
6/19/2021,0
6/20/2021,0
6/21/2021,0
6/22/2021,0
6/23/2021,0
6/24/2021,0
6/25/2021,0
6/26/2021,0
6/27/2021,0
6/28/2021,0
6/29/2021,0
6/30/2021,0
7/1/2021,0
7/2/2021,0
7/3/2021,0
7/4/2021,0
7/5/2021,0
7/6/2021,0
7/7/2021,0
7/8/2021,0
7/9/2021,0
7/10/2021,0
7/11/2021,0
7/12/2021,0
7/13/2021,0
7/14/2021,0
7/15/2021,0
7/16/2021,0
7/17/2021,0
7/18/2021,0
7/19/2021,0
7/20/2021,0
7/21/2021,0
7/22/2021,0
7/23/2021,0
7/24/2021,0
7/25/2021,0
7/26/2021,0
7/27/2021,0
7/28/2021,0
7/29/2021,0
7/30/2021,0
7/31/2021,0
8/1/2021,0
8/2/2021,0
8/3/2021,0
8/4/2021,0
8/5/2021,0
8/6/2021,0
8/7/2021,0
8/8/2021,0
8/9/2021,0
8/10/2021,0
8/11/2021,0
8/12/2021,0
8/13/2021,0
8/14/2021,0
8/15/2021,0
8/16/2021,0
8/17/2021,0
8/18/2021,0
8/19/2021,0
8/20/2021,0
8/21/2021,0
8/22/2021,0
8/23/2021,0
8/24/2021,0
8/25/2021,0
8/26/2021,0.1
8/27/2021,0.05
8/28/2021,0
8/29/2021,0
8/30/2021,0
8/31/2021,0
9/1/2021,0
9/2/2021,0
9/3/2021,0
9/4/2021,0
9/5/2021,0
9/6/2021,0
9/7/2021,0
9/8/2021,0
9/9/2021,0
9/10/2021,0
9/11/2021,0
9/12/2021,0
9/13/2021,0
9/14/2021,0
9/15/2021,0
9/16/2021,0
9/17/2021,0
9/18/2021,0.77
9/19/2021,0.58
9/20/2021,0.03
9/21/2021,0
9/22/2021,0
9/23/2021,0.02
9/24/2021,0
9/25/2021,0
9/26/2021,0
9/27/2021,0.38
9/28/2021,0.69
9/29/2021,0.14
9/30/2021,0
